,repos_name,repos_langs
0,.github,
1,aioshumway,Python
2,android-auth,HTML
3,android-sdk,HTML
4,android-store-service,Python
5,annoy,C++
6,annoy-java,Java
7,apollo,Java
8,apollo-elide,Java
9,apollo-metrics,
10,apps-tutorial,
11,async-datastore-client,Java
12,async-google-pubsub-client,Java
13,backup-utils,Shell
14,basic-pitch,Python
15,basic-pitch-ts,TypeScript
16,batty,Python
17,bazel,
18,bazel-tools,Java
19,beam,Java
20,big-data-rosetta-code,Scala
21,bigtable-autoscaler,Java
22,boilerplate-app,
23,bucket-runner,JavaScript
24,cartography,Python
25,cassandra-extra,Java
26,cassandra-medusa,Python
27,cassandra-opstools,Java
28,cassandra-reaper,
29,causify,
30,certcheck,Python
31,chartify,Python
32,code-of-conduct,
33,collectd,C
34,comet,Python
35,comet-common,Python
36,comet-core,Python
37,completable-futures,Java
38,condor,Java
39,confidence,Python
40,confidence-sdk-android,Kotlin
41,confidence-sdk-flutter,Dart
42,confidence-sdk-go,Go
43,confidence-sdk-java,Java
44,confidence-sdk-js,TypeScript
45,confidence-sdk-python,Python
46,confidence-sdk-rust,Rust
47,confidence-sdk-swift,Swift
48,container-agent,Python
49,cookiecutter-golang,Go
50,coordinator,HTML
51,crtauth,Python
52,crtauth-java,Java
53,crtauth-java-agent-signer-apache,Java
54,crunch-lib,Java
55,cstar,Python
56,daemon-java,Java
57,dataenum,Java
58,DataflowJavaSDK,Java
59,dataproc-java-submitter,Java
